Input Word Length,Enc Time (ms),Dec Time (ms),CPU Enc Time (ms),CPU Dec Time (ms),Enc Memory Usage (MiB),Dec Memory Usage (MiB),Enc Throughput (kB/s),Dec Throughput (kB/s)
10,0,0,0,0,45.4,46.2,,
25,0,0,0,0,46.2,46.3,,
50,0,0,0,0,46.1,46.4,,
100,0,0,0,0,46.0,47.2,,
200,0,0,0,0,46.2,47.2,,
250,0,0,0,0,46.1,46.9,,
500,0,0,0,0,46.2,47.2,,
1000,0,0,0,0,46.3,47.2,,
2500,0,0,0,0,46.2,47.1,,
5000,0,0,0,0,46.4,46.2,,
7500,0,0,0,0,46.3,46.4,,
10000,0.99,1.071,0,0,46.7,46.2,67511.89,63033.14
20000,1.00,0.99,0,0,46.8,46.2,135015,136378.78
25000,1.01,1.00,0,0,47.2,46.5,168638.19,168227.51
50000,2.00,1.49,0,0,48.4,46.7,168759.26,225549.88
75000,2.68,2.10,0,0,49,47.2,188986.19,241182.38
100000,3.49,2.99,0,0,48.7,47.4,193566.57,255155.77
